phase,metric,n_skaters,elite_mean,elite_std
start_rest,torso_lean_angle_deg,3,50.986690864496836,21.78215390803688
start_rest,hip_velocity,3,0.016272268611182913,0.010162631136949953
start_rest,hip_acceleration_abs,3,0.01157337337133714,0.0071426346898815374
start_rest,right_knee_filtered,3,141.59623667261965,20.10764748492104
start_rest,left_knee_filtered,3,138.01928552182355,28.418470884689675
start_acceleration,torso_lean_angle_deg,3,40.50131619884292,20.11957422454039
start_acceleration,hip_velocity,3,0.027946594429153423,0.017812044781228244
start_acceleration,hip_acceleration_abs,3,0.0175876494990864,0.010228750396500492
start_acceleration,right_knee_filtered,3,121.35641009035517,19.99440300965567
start_acceleration,left_knee_filtered,3,117.4732919412573,16.846313856783727
corner,torso_lean_angle_deg,3,42.72003086732565,16.223071280048
corner,hip_velocity,3,0.026038773251709568,0.010787384784254643
corner,hip_acceleration_abs,3,0.01974059628364871,0.009306102120832074
corner,right_knee_filtered,3,149.11034773676758,7.054890937582726
corner,left_knee_filtered,3,139.02842543377605,7.681811229882463
straightaway,torso_lean_angle_deg,3,42.385651008775035,10.99777091493532
straightaway,hip_velocity,3,0.02059163539931883,0.015426086215798863
straightaway,hip_acceleration_abs,3,0.017292038698950327,0.01314412097019384
straightaway,right_knee_filtered,3,134.50726553397115,13.477634752522846
straightaway,left_knee_filtered,3,133.90430751746337,8.256502215409697
